County,PrecinctName,Registration,PartyName,VoteCount,Priority
McHENRY,Algonquin 46,1100,Republican,0,
McHENRY,Algonquin 46,1100,Republican,0,
McHENRY,Algonquin 31,1229,Republican,93,
McHENRY,Algonquin 31,1229,Republican,11,
McHENRY,Algonquin 31,1229,Republican,0,
McHENRY,Algonquin 31,1229,Republican,0,
McHENRY,Algonquin 37,410,Republican,15,
McHENRY,Algonquin 37,410,Republican,2,
McHENRY,Algonquin 37,410,Republican,0,
McHENRY,Algonquin 37,410,Republican,0,
McHENRY,Algonquin 16,871,Republican,126,
McHENRY,Algonquin 16,871,Republican,16,
McHENRY,Algonquin 16,871,Republican,0,
COOK,7000007,360,Republican,38,
COOK,7000007,360,Republican,6,
COOK,8700052,948,Republican,135,
COOK,8700052,948,Republican,19,
COOK,7900027,867,Republican,54,
COOK,7900027,867,Republican,8,
COOK,8700030,772,Republican,74,
COOK,8700030,772,Republican,9,
COOK,8700033,750,Republican,39,
COOK,8700033,750,Republican,10,
COOK,8700036,920,Republican,64,
COOK,8700036,920,Republican,17,
COOK,8700023,657,Republican,100,
COOK,8700023,657,Republican,19,
COOK,8700029,1310,Republican,106,
COOK,8700029,1310,Republican,19,
COOK,8700044,1206,Republican,190,
COOK,8700044,1206,Republican,33,
COOK,7600009,1017,Republican,108,
COOK,7600009,1017,Republican,19,
COOK,8700040,1393,Republican,142,
COOK,8700040,1393,Republican,28,
COOK,8700057,1314,Republican,122,
COOK,8700057,1314,Republican,20,
COOK,7000001,905,Republican,139,
COOK,7000001,905,Republican,19,
COOK,8700055,700,Republican,75,
COOK,8700055,700,Republican,9,
COOK,7600031,812,Republican,81,
COOK,7600031,812,Republican,18,
COOK,8700031,651,Republican,102,
COOK,8700031,651,Republican,9,
COOK,8700034,1192,Republican,135,
COOK,8700034,1192,Republican,18,
COOK,8700037,1148,Republican,110,
COOK,8700037,1148,Republican,14,
COOK,8700063,1011,Republican,82,
COOK,8700063,1011,Republican,17,
COOK,8700069,1035,Republican,82,
COOK,8700069,1035,Republican,11,
COOK,7000003,1151,Republican,147,
COOK,7000003,1151,Republican,15,
COOK,7000009,713,Republican,111,
COOK,7000009,713,Republican,8,
KANE,SC0027,2621,Republican,0,
KANE,SC0027,2621,Republican,28,
KANE,SC0027,2621,Republican,188,
KANE,EL0007,1742,Republican,0,
KANE,EL0007,1742,Republican,14,
KANE,EL0007,1742,Republican,118,
KANE,EL0053,4438,Republican,0,
KANE,EL0053,4438,Republican,17,
KANE,EL0053,4438,Republican,142,
KANE,SC0032,1765,Republican,0,
KANE,SC0032,1765,Republican,9,
KANE,SC0032,1765,Republican,127,
KANE,DU0033,3416,Republican,0,
KANE,DU0033,3416,Republican,11,
KANE,DU0033,3416,Republican,103,
KANE,SC0030,3375,Republican,0,
KANE,SC0030,3375,Republican,27,
KANE,SC0030,3375,Republican,162,
KANE,EL0038,2742,Republican,0,
KANE,EL0038,2742,Republican,11,
KANE,EL0038,2742,Republican,94,
KANE,SC0024,6405,Republican,0,
KANE,SC0024,6405,Republican,27,
KANE,SC0024,6405,Republican,206,
KANE,DU0001,2088,Republican,0,
KANE,DU0001,2088,Republican,8,
KANE,DU0001,2088,Republican,93,
KANE,DU0031,1474,Republican,0,
KANE,DU0031,1474,Republican,11,
KANE,DU0031,1474,Republican,48,
KANE,SC0007,3176,Republican,0,
KANE,SC0007,3176,Republican,38,
KANE,SC0007,3176,Republican,188,
KANE,EL0050,1052,Republican,0,
KANE,EL0050,1052,Republican,3,
KANE,EL0050,1052,Republican,28,
KANE,EL0008,1800,Republican,0,
KANE,EL0008,1800,Republican,11,
KANE,EL0008,1800,Republican,77,
KANE,SC0028,2066,Republican,0,
KANE,SC0028,2066,Republican,32,
KANE,SC0028,2066,Republican,156,
KANE,SC0022,2143,Republican,0,
KANE,SC0022,2143,Republican,26,
KANE,SC0022,2143,Republican,163,
McHENRY,Algonquin 17,1246,Democrat,0,
McHENRY,Algonquin 17,1246,Democrat,35,
McHENRY,Algonquin 17,1246,Democrat,45,
McHENRY,Algonquin 17,1246,Democrat,0,
McHENRY,Algonquin 17,1246,Democrat,3,
McHENRY,Algonquin 17,1246,Democrat,21,
McHENRY,Algonquin 7,468,Democrat,1,
McHENRY,Algonquin 7,468,Democrat,0,
McHENRY,Algonquin 7,468,Democrat,5,
McHENRY,Algonquin 7,468,Democrat,4,
McHENRY,Algonquin 7,468,Democrat,0,
McHENRY,Algonquin 7,468,Democrat,18,
McHENRY,Algonquin 7,468,Democrat,29,
McHENRY,Algonquin 7,468,Democrat,0,
McHENRY,Algonquin 7,468,Democrat,0,
McHENRY,Algonquin 7,468,Democrat,3,
McHENRY,Algonquin 6,787,Democrat,5,
McHENRY,Algonquin 6,787,Democrat,5,
McHENRY,Algonquin 6,787,Democrat,16,
McHENRY,Algonquin 6,787,Democrat,9,
McHENRY,Algonquin 6,787,Democrat,0,
McHENRY,Algonquin 6,787,Democrat,35,
McHENRY,Algonquin 6,787,Democrat,28,
McHENRY,Algonquin 6,787,Democrat,0,
McHENRY,Algonquin 6,787,Democrat,2,
McHENRY,Algonquin 6,787,Democrat,7,
McHENRY,Algonquin 61,712,Democrat,1,
McHENRY,Algonquin 61,712,Democrat,1,
McHENRY,Algonquin 61,712,Democrat,15,
McHENRY,Algonquin 61,712,Democrat,8,
McHENRY,Algonquin 61,712,Democrat,0,
McHENRY,Algonquin 61,712,Democrat,16,
McHENRY,Algonquin 61,712,Democrat,15,
McHENRY,Algonquin 61,712,Democrat,0,
McHENRY,Algonquin 61,712,Democrat,3,
McHENRY,Algonquin 61,712,Democrat,7,
McHENRY,Algonquin 64,699,Democrat,1,
McHENRY,Algonquin 64,699,Democrat,0,
McHENRY,Algonquin 64,699,Democrat,9,
McHENRY,Algonquin 64,699,Democrat,3,
McHENRY,Algonquin 64,699,Democrat,3,
McHENRY,Algonquin 64,699,Democrat,16,
McHENRY,Algonquin 64,699,Democrat,29,
McHENRY,Algonquin 64,699,Democrat,0,
McHENRY,Algonquin 16,871,Republican,0,
McHENRY,Algonquin 19,702,Republican,71,
McHENRY,Algonquin 19,702,Republican,14,
McHENRY,Algonquin 19,702,Republican,0,
McHENRY,Algonquin 19,702,Republican,0,
McHENRY,Algonquin 25,574,Republican,64,
McHENRY,Algonquin 25,574,Republican,4,
McHENRY,Algonquin 25,574,Republican,0,
McHENRY,Algonquin 25,574,Republican,0,
McHENRY,Algonquin 49,800,Republican,80,
McHENRY,Algonquin 49,800,Republican,18,
McHENRY,Algonquin 49,800,Republican,0,
McHENRY,Algonquin 49,800,Republican,0,
McHENRY,Algonquin 2,830,Republican,75,
McHENRY,Algonquin 2,830,Republican,23,
McHENRY,Algonquin 2,830,Republican,0,
McHENRY,Algonquin 2,830,Republican,0,
McHENRY,Algonquin 66,760,Republican,60,
McHENRY,Algonquin 66,760,Republican,6,
McHENRY,Algonquin 66,760,Republican,0,
McHENRY,Algonquin 66,760,Republican,0,
McHENRY,Algonquin 48,1210,Republican,117,
McHENRY,Algonquin 48,1210,Republican,22,
McHENRY,Algonquin 48,1210,Republican,0,
McHENRY,Algonquin 48,1210,Republican,0,
McHENRY,Algonquin 51,1286,Republican,153,
McHENRY,Algonquin 51,1286,Republican,18,
McHENRY,Algonquin 51,1286,Republican,0,
McHENRY,Algonquin 51,1286,Republican,0,
McHENRY,Algonquin 45,920,Republican,110,
McHENRY,Algonquin 45,920,Republican,17,
McHENRY,Algonquin 45,920,Republican,0,
McHENRY,Algonquin 45,920,Republican,0,
McHENRY,Algonquin 5,1168,Republican,115,
McHENRY,Algonquin 5,1168,Republican,22,
McHENRY,Algonquin 5,1168,Republican,0,
McHENRY,Algonquin 5,1168,Republican,0,
McHENRY,Algonquin 60,461,Republican,35,
McHENRY,Algonquin 60,461,Republican,14,
McHENRY,Algonquin 60,461,Republican,0,
McHENRY,Algonquin 60,461,Republican,0,
McHENRY,Algonquin 4,1000,Republican,77,
McHENRY,Algonquin 4,1000,Republican,22,
McHENRY,Algonquin 4,1000,Republican,0,
